FirstName,LastName,AddressLine1,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,AveMonthSpend,BikeBuyer,AgeGroup,log_AveMonthSpend,log_Age,log_YearlyIncome
Curtis,Lu,1224 Shoenic,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,11/4/1963,Bachelors ,Professional,M,M,1,4,4,4,94029,34,146,1,25-45,4.983606622,3.526360525,11.45135852
Lauren,Walker,4785 Scott Street,Bremerton,Washington,United States,98312,717-555-0164,1/18/1968,Bachelors ,Management,F,M,1,2,0,2,99245,29,55,1,25-45,4.007333185,3.36729583,11.50534682
Ian,Jenkins,7902 Hudson Ave.,Lebanon,Oregon,United States,97355,817-555-0185,8/6/1968,Bachelors ,Management,M,M,1,3,0,2,115859,29,84,0,25-45,4.430816799,3.36729583,11.66012921
Sydney,Bennett,9011 Tank Drive,Redmond,Washington,United States,98052,431-555-0156,5/9/1968,Bachelors ,Management,F,S,0,3,0,3,105157,29,49,0,25-45,3.891820298,3.36729583,11.56320975
Chloe,Young,244 Willow Pass Road,Burbank,California,United States,91502,208-555-0142,2/27/1979,Partial College,Skilled Manual,F,S,0,1,0,0,40011,18,39,0,Under 25,3.663561646,2.890371758,10.5969097
Wyatt,Hill,9666 Northridge Ct.,Imperial Beach,California,United States,91932,135-555-0171,4/28/1979,Partial College,Skilled Manual,M,M,1,1,0,0,46808,18,68,0,Under 25,4.219507705,2.890371758,10.75380941
Luke,Lal,7832 Landing Dr,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,3/7/1978,High School,Skilled Manual,M,S,0,2,0,0,49455,19,64,1,Under 25,4.158883083,2.944438979,10.80881844
Jordan,King,7156 Rose Dr.,Metchosin,British Columbia,Canada,V9,550-555-0163,9/20/1978,High School,Skilled Manual,M,S,0,2,0,0,43857,19,64,0,Under 25,4.158883083,2.944438979,10.68868962
Seth,Edwards,4499 Valley Crest,Bellflower,California,United States,90706,452-555-0188,10/11/1978,Partial College,Skilled Manual,M,M,1,1,0,0,50046,19,71,0,Under 25,4.262679877,2.944438979,10.82069786
Russell,Xie,8734 Oxford Place,Concord,California,United States,94519,746-555-0186,9/17/1978,Partial College,Skilled Manual,M,M,1,2,0,0,91276,19,77,0,Under 25,4.343805422,2.944438979,11.42164316
Alejandro,Beck,2596 Franklin Canyon Road,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,12/23/1945,Partial High School,Clerical,M,M,1,2,1,2,24334,52,70,0,45-55,4.248495242,3.951243719,10.09962983
Harold,Sai,8211 Leeds Ct.,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0131,4/3/1946,Partial College,Clerical,M,S,0,2,0,2,61905,51,63,0,45-55,4.143134726,3.931825633,11.03335623
Jessie,Zhao,213 Valencia Place,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,12/7/1946,Partial College,Clerical,M,M,1,2,0,2,49349,51,76,0,45-55,4.33073334,3.931825633,10.80667278
Jill,Jimenez,9111 Rose Ann Ave,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0116,4/11/1946,Partial College,Clerical,F,M,1,2,0,2,44068,51,43,0,45-55,3.761200116,3.931825633,10.69348917
Theresa,Ramos,6465 Detroit Ave.,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,8/22/1947,High School,Skilled Manual,F,M,1,2,0,4,18843,50,43,0,45-55,3.761200116,3.912023005,9.843896771
Denise,Stone,626 Bentley Street,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,6/11/1947,High School,Skilled Manual,F,M,1,2,0,4,15861,50,42,0,45-55,3.737669618,3.912023005,9.671618545
Jaime,Nath,5927 Rainbow Dr,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,9/23/1947,High School,Skilled Manual,M,M,1,2,0,4,35822,50,58,0,45-55,4.060443011,3.912023005,10.48631751
Ebony,Gonzalez,5167 Condor Place,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,6/19/1947,High School,Skilled Manual,F,M,1,2,0,4,29017,50,39,0,45-55,3.663561646,3.912023005,10.27563714
Wendy,Dominguez,1873 Mt. Whitney Dr,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0177,2/24/1948,Partial High School,Clerical,F,M,1,2,1,2,11721,49,50,0,45-55,3.912023005,3.891820298,9.369137384
Jennifer,Russell,3981 Augustine Drive,National City,California,United States,91950,115-555-0183,12/18/1978,Partial College,Skilled Manual,F,M,1,2,0,0,84890,19,52,0,Under 25,3.951243719,2.944438979,11.34911158
Chloe,Garcia,8915 Woodside Way,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,11/27/1977,Partial High School,Clerical,F,S,0,2,0,0,48651,20,46,0,Under 25,3.828641396,2.995732274,10.79242764
Jesse,Murphy,3350 Kingswood Circle,Tacoma,Washington,United States,98403,961-555-0176,8/1/1977,Partial College,Skilled Manual,M,M,1,2,0,0,56248,20,65,0,Under 25,4.17438727,2.995732274,10.93752576
Megan,Sanchez,1397 Paraiso Ct.,Los Angeles,California,United States,90012,404-555-0199,6/13/1977,Partial College,Skilled Manual,F,M,1,2,0,0,70623,20,55,0,Under 25,4.007333185,2.995732274,11.16511115
Nathan,Simmons,1170 Shaw Rd,Glendale,California,United States,91203,296-555-0181,2/24/1976,Partial College,Skilled Manual,M,M,1,2,0,0,78150,21,77,0,Under 25,4.343805422,3.044522438,11.26638534
Adam,Flores,6935 Candle Dr,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0163,5/24/1949,Partial High School,Clerical,M,M,1,2,1,2,24007,48,76,0,45-55,4.33073334,3.871201011,10.08610073
Leonard,Nara,7466 La Vista Ave.,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0151,5/19/1950,High School,Skilled Manual,M,S,0,2,0,3,51472,47,63,0,45-55,4.143134726,3.850147602,10.84879325
Christine,Yuan,2356 Orange St,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0113,3/22/1950,High School,Skilled Manual,F,M,1,2,0,3,50798,47,48,0,45-55,3.871201011,3.850147602,10.83561226
Jaclyn,Lu,2812 Mazatlan,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,2/27/1950,High School,Skilled Manual,F,M,0,2,0,3,42738,47,43,0,45-55,3.761200116,3.850147602,10.66284373
Carol,Rai,6064 Madrid,Chula Vista,California,United States,91910,654-555-0180,7/18/1980,Partial High School,Clerical,F,S,1,2,0,0,48422,17,41,1,Under 25,3.713572067,2.833213344,10.78770953
Alan,Zheng,2741 Gainborough Dr.,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0135,9/7/1951,High School,Skilled Manual,M,M,1,2,0,3,58585,46,73,0,45-55,4.290459441,3.828641396,10.97823397
Daniel,Johnson,8085 Sunnyvale Avenue,Caloundra,Queensland,Australia,4551,1 (11) 500 555-0155,8/4/1951,High School,Skilled Manual,M,S,0,2,0,3,45982,46,64,0,45-55,4.158883083,3.828641396,10.73600529
Heidi,Lopez,2514 Via Cordona,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0168,8/7/1951,Partial College,Clerical,F,S,0,2,0,2,50790,46,49,0,45-55,3.891820298,3.828641396,10.83545476
Ana,Price,1660 Stonyhill Circle,San Diego,California,United States,92102,859-555-0113,8/20/1980,Partial College,Skilled Manual,F,M,0,2,0,0,91599,17,51,0,Under 25,3.931825633,2.833213344,11.42517563
Deanna,Munoz,5825 B Way,Geelong,Victoria,Australia,3220,1 (11) 500 555-0192,3/10/1952,Partial College,Skilled Manual,F,M,1,2,0,2,50018,45,43,0,25-45,3.761200116,3.80666249,10.82013822
Gilbert,Raje,8811 The Trees Dr.,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0129,3/5/1952,Partial College,Skilled Manual,M,M,1,2,0,2,53459,45,75,0,25-45,4.317488114,3.80666249,10.88667028
Michele,Nath,5464 Janin Pl.,Newcastle,New South Wales,Australia,2300,1 (11) 500 555-0178,4/3/1953,Partial College,Skilled Manual,F,M,1,2,0,3,38588,44,46,0,25-45,3.828641396,3.784189634,10.56069663
Carl,Andersen,6930 Lake Nadine Place,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0181,10/12/1953,Graduate Degree,Management,M,M,1,2,0,2,119540,44,82,0,25-45,4.406719247,3.784189634,11.69140632
Marc,Diaz,6645 Sinaloa,Findon,South Australia,Australia,5023,1 (11) 500 555-0149,4/27/1954,Partial College,Skilled Manual,M,M,1,2,0,2,119982,43,87,0,25-45,4.465908119,3.761200116,11.69509701
Ashlee,Andersen,8255 Highland Road,Townsville,Queensland,Australia,4810,1 (11) 500 555-0112,4/1/1954,Partial College,Skilled Manual,F,S,1,2,0,2,86953,43,45,0,25-45,3.80666249,3.761200116,11.37312302
Jon,Zhou,6574 Hemlock Ave.,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0174,3/17/1954,Partial College,Skilled Manual,M,M,1,2,0,2,116368,43,87,0,25-45,4.465908119,3.761200116,11.66451286
Todd,Gao,8808 Geneva Ave,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0191,2/27/1954,Partial College,Skilled Manual,M,M,1,2,0,2,110712,43,84,1,25-45,4.430816799,3.761200116,11.61468751
Noah,Powell,9794 Marion Ct,Portland,Oregon,United States,97205,767-555-0113,9/2/1975,High School,Skilled Manual,M,M,1,2,0,0,52145,22,71,0,Under 25,4.262679877,3.091042453,10.86178358
Angela,Murphy,4927 Virgil Street,Redmond,Washington,United States,98052,451-555-0162,4/7/1975,High School,Skilled Manual,F,S,1,2,0,0,49609,22,40,0,Under 25,3.688879454,3.091042453,10.81192755
Chase,Reed,2721 Alexander Pl.,Downey,California,United States,90241,892-555-0184,12/7/1975,High School,Skilled Manual,M,M,1,2,0,0,58306,22,76,0,Under 25,4.33073334,3.091042453,10.97346028
Jessica,Henderson,9343 Ironwood Way,La Jolla,California,United States,92806,278-555-0186,10/9/1973,Partial College,Skilled Manual,F,M,0,2,0,0,73388,24,48,1,Under 25,3.871201011,3.17805383,11.20351571
Grace,Butler,4739 Garden Ave.,Lebanon,Oregon,United States,97355,712-555-0141,11/27/1973,Partial College,Professional,F,M,1,2,0,0,61686,24,50,0,Under 25,3.912023005,3.17805383,11.02981228
Caleb,Carter,9563 Pennsylvania Blvd.,Port Orchard,Washington,United States,98366,944-555-0167,9/25/1976,Partial College,Professional,M,S,1,2,0,0,96049,21,70,1,Under 25,4.248495242,3.044522438,11.47261376
Willie,Raji,6260 Vernal Drive,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0151,4/5/1955,High School,Skilled Manual,M,M,1,2,0,2,109883,42,87,0,25-45,4.465908119,3.737669618,11.60717144
Linda,Serrano,9808 Shaw Rd.,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0130,6/26/1955,High School,Skilled Manual,F,S,1,2,0,2,106718,42,51,0,25-45,3.931825633,3.737669618,11.57794512
Casey,Luo,9513 Roslyn Drive,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0125,2/6/1955,High School,Skilled Manual,F,S,0,2,0,2,97646,42,52,0,25-45,3.951243719,3.737669618,11.48910397
Amy,Ye,2262 Kirkwood Ct.,Springwood,New South Wales,Australia,2777,1 (11) 500 555-0185,8/14/1956,High School,Skilled Manual,F,S,1,2,0,2,58916,41,51,0,25-45,3.931825633,3.713572067,10.98386798
Levi,Arun,4661 Bluetail,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0127,8/28/1956,High School,Skilled Manual,M,S,1,2,0,2,93934,41,74,0,25-45,4.304065093,3.713572067,11.45034769
Felicia,Jimenez,786 Eastgate Ave,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0165,11/16/1957,High School,Professional,F,S,1,2,0,2,99137,40,51,0,25-45,3.931825633,3.688879454,11.50425801
Blake,Anderson,5436 Clear,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0113,7/13/1957,High School,Professional,M,S,1,2,0,2,112044,40,73,0,25-45,4.290459441,3.688879454,11.62664693
Leah,Ye,1291 Arguello Blvd.,Melton,Victoria,Australia,3337,1 (11) 500 555-0154,9/19/1957,High School,Professional,F,S,0,2,0,2,108728,40,55,0,25-45,4.007333185,3.688879454,11.59660463
Gina,Martin,1349 Sol St.,Cliffside,British Columbia,Canada,V8Y 1L1,196-555-0114,1/10/1974,High School,Professional,F,S,0,2,0,0,49084,23,48,1,Under 25,3.871201011,3.135494216,10.8012884
Donald,Gonzalez,4236 Malibu Place,Geelong,Victoria,Australia,3220,1 (11) 500 555-0137,3/11/1959,Graduate Degree,Management,M,S,1,2,0,0,172444,38,87,0,25-45,4.465908119,3.63758616,12.05782783
Damien,Chander,9941 Stonehedge Dr.,Perth,South Australia,Australia,6006,1 (11) 500 555-0111,7/17/1959,Graduate Degree,Management,M,M,1,2,0,0,181590,38,92,1,25-45,4.521788577,3.63758616,12.10950668
Savannah,Baker,1210 Trafalgar Circle,Concord,California,United States,94519,478-555-0117,7/24/1966,Bachelors ,Management,F,M,1,3,2,2,148109,31,76,0,25-45,4.33073334,3.433987204,11.90570377
Angela,Butler,6040 Listing Ct,Fremont,California,United States,94536,579-555-0195,8/4/1966,Graduate Degree,Management,F,S,0,3,1,1,149717,31,62,1,25-45,4.127134385,3.433987204,11.91650212
Alyssa,Cox,867 La Orinda Place,Lincoln Acres,California,United States,91950,561-555-0140,3/15/1966,Graduate Degree,Management,F,M,1,3,1,1,163913,31,68,1,25-45,4.219507705,3.433987204,12.00709108
Emily,Johnson,7926 Stephanie Way,Newport Beach,California,United States,92625,850-555-0184,7/19/1957,High School,Professional,F,S,0,2,0,2,66900,40,47,0,25-45,3.850147602,3.688879454,11.11095425
Ryan,Brown,2939 Wesley Ct.,Santa Monica,California,United States,90401,539-555-0198,12/23/1957,Partial College,Professional,M,M,1,0,1,2,97834,40,98,0,25-45,4.584967479,3.688879454,11.49102744
Hunter,Davis,4308 Sand Pointe Lane,San Diego,California,United States,92102,612-555-0141,11/25/1957,Bachelors ,Management,M,M,1,0,1,2,129910,40,104,0,25-45,4.644390899,3.688879454,11.77459718
Abigail,Price,2685 Blackburn Ct,Long Beach,California,United States,90802,532-555-0117,2/5/1957,Bachelors ,Management,F,S,1,1,1,2,91729,40,57,1,25-45,4.043051268,3.688879454,11.42659386
Trevor,Bryant,5781 Sharon Dr.,Los Angeles,California,United States,90012,853-555-0174,12/17/1957,Partial College,Professional,M,S,1,1,0,2,113883,40,76,0,25-45,4.33073334,3.688879454,11.64292688
Dalton,Perez,6083 San Jose,Haney,British Columbia,Canada,V2W 1W2,559-555-0115,4/4/1957,Partial College,Professional,M,M,1,1,0,2,112820,40,82,0,25-45,4.406719247,3.688879454,11.63354891
Aimee,He,1833 Olympic Drive,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0161,9/10/1967,Graduate Degree,Management,F,M,1,0,0,0,106839,30,58,0,25-45,4.060443011,3.401197382,11.57907831
Cedric,Ma,3407 Oak Brook Place,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0115,4/1/1962,Partial College,Skilled Manual,M,S,0,1,0,1,88887,35,78,1,25-45,4.356708827,3.555348061,11.39512118
Chad,Kumar,1681 Lighthouse Way,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0151,9/1/1962,Partial College,Skilled Manual,M,S,1,1,0,1,108740,35,77,0,25-45,4.343805422,3.555348061,11.59671499
Andrés,Anand,5423 Los Gatos Ct.,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0184,8/10/1962,Bachelors ,Professional,M,M,1,1,0,1,106971,35,87,1,25-45,4.465908119,3.555348061,11.58031305
Edwin,Nara,719 William Way,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0112,10/27/1961,Partial College,Skilled Manual,M,M,1,1,0,1,98519,36,80,0,25-45,4.382026635,3.583518938,11.4980047
Mallory,Rubio,6452 Harris Circle,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0157,5/1/1961,Partial College,Skilled Manual,F,S,0,1,0,1,82707,36,54,0,25-45,3.988984047,3.583518938,11.32305952
Adam,Ross,4378 Westminster Place,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0186,3/8/1961,Bachelors ,Professional,M,M,1,1,0,1,103866,36,83,1,25-45,4.418840608,3.583518938,11.55085689
Latasha,Navarro,6954 Ranch Road,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0123,9/15/1960,Partial College,Skilled Manual,F,S,1,1,0,1,66520,37,46,0,25-45,3.828641396,3.610917913,11.10525793
Abby,Sai,7074 N. Spoonwood Court,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0174,5/8/1965,Bachelors ,Professional,F,S,0,1,0,0,75270,32,47,1,25-45,3.850147602,3.465735903,11.22883693
Julia,Nelson,2196 Coat Ct.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0124,4/21/1965,Bachelors ,Professional,F,S,1,4,5,5,95167,32,89,1,25-45,4.48863637,3.465735903,11.46338852
Cassie,Chande,9448 San Marino Ct.,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0166,10/17/1964,Bachelors ,Professional,F,S,1,1,0,0,85087,33,49,0,25-45,3.891820298,3.496507561,11.35142954
Edgar,Sara,6127 Lilly Lane,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0125,3/11/1964,Bachelors ,Professional,M,M,0,1,0,0,102445,33,85,0,25-45,4.442651256,3.496507561,11.53708135
Candace,Fernandez,5029 Blue Ridge,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0162,12/28/1964,Bachelors ,Professional,F,S,0,1,0,0,88445,33,52,0,25-45,3.951243719,3.496507561,11.39013617
Jessie,Liu,3063 Blue Jay Drive,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0163,9/11/1964,Bachelors ,Professional,M,S,0,1,0,0,97782,33,74,1,25-45,4.304065093,3.496507561,11.49049579
Bianca,Lin,7530 Eola,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0121,9/9/1959,Bachelors ,Professional,F,M,1,1,0,1,117317,38,54,1,25-45,3.988984047,3.63758616,11.67263495
Ruben,Kapoor,1984 Glendale Circle,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0132,11/5/1963,Bachelors ,Professional,M,S,0,2,0,0,106891,34,79,1,25-45,4.369447852,3.526360525,11.5795649
Curtis,Yang,4052 Mt. Wilson Way,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0127,6/6/1962,Partial College,Skilled Manual,M,M,1,1,0,1,77012,35,74,1,25-45,4.304065093,3.555348061,11.25171653
Meredith,Gutierrez,7610 Northridge Ct.,Geelong,Victoria,Australia,3220,1 (11) 500 555-0179,2/23/1962,Partial College,Skilled Manual,F,M,1,1,0,1,62702,35,56,1,25-45,4.025351691,3.555348061,11.04614862
Crystal,Wang,2773 Kirkwood Dr,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0134,9/9/1962,Partial College,Skilled Manual,F,M,1,1,0,1,73151,35,51,0,25-45,3.931825633,3.555348061,11.20028108
Micheal,Blanco,596 Marfargoa Drive,Perth,South Australia,Australia,6006,1 (11) 500 555-0131,2/21/1962,Bachelors ,Professional,M,M,1,2,4,5,104220,35,142,1,25-45,4.955827058,3.555348061,11.55425933
Alvin,Cai,7759 Azalea Avenue,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0191,2/12/1962,Partial College,Skilled Manual,M,M,1,2,4,5,93330,35,141,1,25-45,4.94875989,3.555348061,11.44389688
Clinton,Carlson,7943 Cunha Ct.,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0184,10/7/1962,Partial College,Skilled Manual,M,M,1,2,4,5,86770,35,140,1,25-45,4.941642423,3.555348061,11.37101622
April,Deng,485 Ash Lane,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0182,2/21/1961,Partial College,Skilled Manual,F,M,1,3,4,5,73276,36,84,1,25-45,4.430816799,3.583518938,11.20198841
Evan,James,4157 Sierra Ridge,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0187,4/10/1935,Partial College,Clerical,M,S,0,2,0,2,51078,62,58,0,Over 55,4.060443011,4.127134385,10.84110916
Beth,Jiménez,7401 Las Palmas,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0164,8/9/1936,Bachelors ,Management,F,S,1,1,0,2,52280,61,37,0,Over 55,3.610917913,4.110873864,10.86436917
Byron,Vazquez,3187 Hackamore Lane,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,4/2/1960,Partial College,Skilled Manual,M,M,1,3,4,5,88615,37,143,0,25-45,4.96284463,3.610917913,11.39205642
Philip,Alvarez,2775 Mt. Olivet Pl.,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0191,6/20/1960,Partial College,Skilled Manual,M,M,1,3,4,5,102114,37,140,1,25-45,4.941642423,3.610917913,11.53384512
Ross,Jordan,6973 Dublin Court,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,7/27/1957,Partial College,Skilled Manual,M,S,1,1,0,1,106875,40,80,1,25-45,4.382026635,3.688879454,11.57941521
Dana,Navarro,8481 Zartop Street,Seaford,Victoria,Australia,3198,1 (11) 500 555-0172,4/8/1956,Partial College,Skilled Manual,F,S,1,1,0,1,65730,41,46,0,25-45,3.828641396,3.713572067,11.09331072
Shaun,Carson,57 Wolf Way,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0155,4/7/1949,High School,Skilled Manual,M,M,0,2,1,2,32857,48,75,0,45-55,4.317488114,3.871201011,10.39992009
Jan,Edwards,9409 The Alameda,San Gabriel,California,United States,91776,111-555-0118,10/21/1975,High School,Skilled Manual,F,M,1,1,0,0,46078,22,46,0,Under 25,3.828641396,3.091042453,10.73809089
Julia,Wright,7397 Central Blvd.,Sedro Woolley,Washington,United States,98284,456-555-0174,8/5/1975,High School,Skilled Manual,F,S,1,1,0,0,32122,22,37,0,Under 25,3.610917913,3.091042453,10.37729643
Caroline,Russell,3884 Bates Court,Lebanon,Oregon,United States,97355,424-555-0137,1/6/1980,High School,Skilled Manual,F,M,1,2,0,0,34879,17,48,0,Under 25,3.871201011,2.833213344,10.45964021
Amanda,Rivera,9573 Royal Oak Rd.,Haney,British Columbia,Canada,V2W 1W2,918-555-0126,3/12/1980,High School,Skilled Manual,F,M,0,2,0,0,39266,17,44,0,Under 25,3.784189634,2.833213344,10.57811428
Melissa,Richardson,6832 Fruitwood Dr,Langford,British Columbia,Canada,V9,928-555-0118,10/26/1980,High School,Skilled Manual,F,S,0,2,0,0,44139,17,40,0,Under 25,3.688879454,2.833213344,10.69509902
Angela,Griffin,3828 Baltic Sea Ct,Lake Oswego,Oregon,United States,97034,598-555-0174,9/8/1980,Partial High School,Clerical,F,S,0,2,0,0,37010,17,34,0,Under 25,3.526360525,2.833213344,10.51894343
Larry,Townsend,7034 Carson,Perth,South Australia,Australia,6006,1 (11) 500 555-0130,2/26/1946,High School,Skilled Manual,M,S,1,2,0,5,26209,51,64,1,45-55,4.158883083,3.931825633,10.17385814
Marcus,Harris,9068 Quiet Place Drive,Burlingame,California,United States,94010,442-555-0119,11/3/1979,Partial High School,Clerical,M,S,0,2,0,0,64613,18,63,0,Under 25,4.143134726,2.890371758,11.07617091
Brianna,Morgan,9005 Eagle Ct.,Metchosin,British Columbia,Canada,V9,954-555-0117,10/26/1978,High School,Skilled Manual,F,S,0,2,0,0,38527,19,46,0,Under 25,3.828641396,2.944438979,10.55911457
Jasmine,Taylor,2457 Matterhorn Court,Spokane,Washington,United States,99202,557-555-0146,7/20/1978,High School,Skilled Manual,F,M,1,2,0,0,42811,19,47,0,Under 25,3.850147602,2.944438979,10.66455036
Lauren,Davis,8105 Pembrook Court,Glendale,California,United States,91203,832-555-0121,9/15/1978,High School,Skilled Manual,F,M,0,2,0,0,48772,19,45,0,Under 25,3.80666249,2.944438979,10.79491166
Tanya,Moreno,6155 Wilbur Drive,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0185,11/9/1938,Partial College,Clerical,F,S,0,2,0,2,27610,59,39,0,Over 55,3.663561646,4.077537444,10.2259333
Javier,Alvarez,8935 Etcheverry Dr.,Burbank,California,United States,91502,763-555-0134,2/11/1977,Partial High School,Clerical,M,S,0,2,0,0,64633,20,69,0,Under 25,4.234106505,2.995732274,11.0764804
Nicole,Ramirez,1101 C Street,Daly City,California,United States,94015,152-555-0162,6/21/1977,High School,Skilled Manual,F,M,0,2,0,0,32916,20,43,0,Under 25,3.761200116,2.995732274,10.40171414
Eduardo,Patterson,6255 Macalvey Dr.,Langford,British Columbia,Canada,V9,190-555-0184,8/14/1977,High School,Skilled Manual,M,S,0,2,0,0,63488,20,73,1,Under 25,4.290459441,2.995732274,11.05860619
